Latitude,Longitude,Soil_Type,Green_Building_Suggestion,Reason,Seismic_Zone
21.079058,72.774143,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone III (Moderate Risk)
12.907224,77.506161,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
26.865236,75.775912,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
19.054668,72.958612,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
17.309193,78.533589,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
13.030319,80.366788,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
12.982649,77.645657,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
28.614343,77.085965,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
13.128962,80.209137,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
28.71505,77.177994,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone V (Very High Risk)
28.673673,77.178555,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
12.925316,77.62942,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.290554,78.492581,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
26.939203,75.87724,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
17.332647,78.476322,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
17.466444,78.56011,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
21.104248,72.824068,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone III (Moderate Risk)
19.0835,72.955006,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
21.139702,72.812817,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone III (Moderate Risk)
12.990197,80.34875,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
26.90236,75.842169,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
22.610889,88.295471,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
28.789674,77.198302,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone V (Very High Risk)
12.923769,77.544932,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
26.910072,75.746708,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone V (Very High Risk)
17.331804,78.523657,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
21.079367,72.917957,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone III (Moderate Risk)
21.265531,72.860433,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone III (Moderate Risk)
12.947734,77.656774,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
13.157198,80.345585,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
21.115063,72.852618,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone III (Moderate Risk)
26.99094,75.779748,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone V (Very High Risk)
12.890472,77.547254,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
28.750778,77.1972,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
28.663575,77.181665,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
26.919647,75.717511,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone V (Very High Risk)
22.666478,88.441833,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
21.157286,72.739889,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone III (Moderate Risk)
13.139158,80.277454,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
21.147137,72.77877,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone III (Moderate Risk)
13.033942,77.503039,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
17.421814,78.420491,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
19.172331,72.85753,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
13.067626,77.529464,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
19.071946,72.874808,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
13.033732,77.603728,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
28.638529,77.052025,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
22.658242,88.423431,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
22.563773,88.29898,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
13.120163,80.319737,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.359395,78.489263,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
17.451245,78.406256,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
26.855201,75.740918,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone V (Very High Risk)
17.441073,78.483689,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
21.21278,72.805175,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone III (Moderate Risk)
17.441515,78.571569,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
12.951744,77.66107,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
28.800025,77.171347,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone V (Very High Risk)
26.927658,75.881561,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
26.825507,75.860823,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone V (Very High Risk)
21.230388,72.8789,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone III (Moderate Risk)
13.080148,80.328242,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.296664,78.572714,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
12.956879,77.597502,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.364621,78.467993,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.39969,78.512283,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
26.93437,75.863633,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
13.05384,77.559729,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
13.062902,80.205037,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
26.93387,75.733925,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
22.495339,88.439696,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
28.793598,77.026418,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
28.772161,77.098504,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
28.670803,77.192956,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
17.430954,78.442992,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
13.046123,80.279974,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
19.006101,72.799969,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
26.914067,75.797018,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone V (Very High Risk)
22.669655,88.416969,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
13.031861,80.243472,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
13.032404,80.262954,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
17.342093,78.527304,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
21.170207,72.883901,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone III (Moderate Risk)
17.308921,78.481032,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
17.424346,78.45297,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
13.000998,77.523056,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
21.072557,72.867408,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone III (Moderate Risk)
17.446316,78.51522,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
26.926198,75.756788,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
28.605599,77.157595,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
13.05204,80.319448,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.482385,78.544169,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
17.448597,78.474021,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
13.008887,80.289285,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
12.996365,77.69021,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
13.009563,77.628444,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
28.676617,77.015454,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
26.981823,75.764389,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
13.017721,77.678147,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
13.166699,80.313216,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
21.203321,72.804031,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone III (Moderate Risk)
28.765882,77.19065,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
28.737766,77.028456,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone V (Very High Risk)
21.150117,72.758219,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone III (Moderate Risk)
18.996547,72.818607,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
26.915788,75.755361,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
17.404095,78.457009,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
13.029526,77.664307,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
21.098831,72.853186,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone III (Moderate Risk)
12.981641,77.641091,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
17.338892,78.57864,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone II (Low Risk)
21.100397,72.736572,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone III (Moderate Risk)
13.110951,80.21966,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone II (Low Risk)
26.853628,75.716408,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
28.661041,77.148251,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
26.939863,75.879214,Marshy,"Use pile foundation, flood-resistant materials, and vertical gardens.",Marshy land requires flood-resistant materials and pile foundations to prevent sinking.,Zone V (Very High Risk)
28.659596,77.026246,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
19.12223,72.868578,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
22.613769,88.267777,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone II (Low Risk)
26.883227,75.850558,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone V (Very High Risk)
28.652043,77.046319,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone V (Very High Risk)
26.948212,75.74434,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
13.131827,80.349397,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
19.146985,72.891873,Clayey,"Use deep foundation, passive cooling, and water-efficient landscaping.","Clayey soil retains water, so proper drainage and deep foundations are needed to prevent structural issues.",Zone II (Low Risk)
28.630611,77.13893,Sandy,"Use reinforced foundation, solar panels, and wind energy solutions.","Sandy soil drains quickly, making it ideal for solar panel installations and wind energy solutions.",Zone V (Very High Risk)
19.117103,72.941358,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
21.100888,72.920765,Loamy,"Adopt eco-friendly bricks, rooftop gardens, and natural ventilation.","Loamy soil is well-balanced, making it suitable for green buildings with natural ventilation.",Zone III (Moderate Risk)
22.56015,88.402148,Rocky,"Implement rainwater harvesting, solar roofing, and earthquake-resistant design.","Rocky soil is stable but may lack water retention, so rainwater harvesting is recommended.",Zone II (Low Risk)
