location,recommended_foundation,suitability_score,building_height,area,3d_model_path,model_details
Loc110,Standard Foundation,88,41,1605,models/3D_Model_110.obj,"{""vertices"": 428, ""faces"": 1866}"
Loc111,Standard Foundation,53,9,4022,models/3D_Model_111.obj,"{""vertices"": 934, ""faces"": 1877}"
Loc112,Shallow Foundation,54,40,4064,models/3D_Model_112.obj,"{""vertices"": 689, ""faces"": 1171}"
Loc113,Shallow Foundation,77,36,839,models/3D_Model_113.obj,"{""vertices"": 472, ""faces"": 1390}"
Loc114,Standard Foundation,89,32,4432,models/3D_Model_114.obj,"{""vertices"": 458, ""faces"": 1322}"
Loc115,Shallow Foundation,97,46,3970,models/3D_Model_115.obj,"{""vertices"": 664, ""faces"": 1099}"
Loc116,Standard Foundation,61,16,3123,models/3D_Model_116.obj,"{""vertices"": 701, ""faces"": 1750}"
Loc117,Deep Foundation,69,40,1520,models/3D_Model_117.obj,"{""vertices"": 558, ""faces"": 923}"
Loc118,Shallow Foundation,82,22,4663,models/3D_Model_118.obj,"{""vertices"": 402, ""faces"": 954}"
Loc119,Shallow Foundation,96,21,1349,models/3D_Model_119.obj,"{""vertices"": 543, ""faces"": 990}"
Loc120,Shallow Foundation,95,28,4704,models/3D_Model_120.obj,"{""vertices"": 300, ""faces"": 1674}"
Loc121,Standard Foundation,90,34,2475,models/3D_Model_121.obj,"{""vertices"": 598, ""faces"": 1294}"
Loc122,Standard Foundation,97,12,2428,models/3D_Model_122.obj,"{""vertices"": 567, ""faces"": 591}"
Loc123,Standard Foundation,95,25,1023,models/3D_Model_123.obj,"{""vertices"": 463, ""faces"": 580}"
Loc124,Shallow Foundation,78,6,1483,models/3D_Model_124.obj,"{""vertices"": 425, ""faces"": 966}"
Loc125,Shallow Foundation,79,42,1850,models/3D_Model_125.obj,"{""vertices"": 462, ""faces"": 1475}"
Loc126,Standard Foundation,53,39,1958,models/3D_Model_126.obj,"{""vertices"": 327, ""faces"": 1585}"
Loc127,Deep Foundation,79,10,3274,models/3D_Model_127.obj,"{""vertices"": 746, ""faces"": 1636}"
Loc128,Deep Foundation,62,34,2109,models/3D_Model_128.obj,"{""vertices"": 431, ""faces"": 1033}"
Loc129,Standard Foundation,61,41,1650,models/3D_Model_129.obj,"{""vertices"": 726, ""faces"": 597}"
Loc130,Deep Foundation,98,15,3199,models/3D_Model_130.obj,"{""vertices"": 317, ""faces"": 1929}"
Loc131,Shallow Foundation,79,30,1399,models/3D_Model_131.obj,"{""vertices"": 962, ""faces"": 1916}"
Loc132,Deep Foundation,64,32,4500,models/3D_Model_132.obj,"{""vertices"": 618, ""faces"": 767}"
Loc133,Shallow Foundation,66,8,3235,models/3D_Model_133.obj,"{""vertices"": 928, ""faces"": 884}"
Loc134,Shallow Foundation,64,29,792,models/3D_Model_134.obj,"{""vertices"": 766, ""faces"": 998}"
Loc135,Deep Foundation,80,36,3970,models/3D_Model_135.obj,"{""vertices"": 784, ""faces"": 599}"
Loc136,Shallow Foundation,65,41,3832,models/3D_Model_136.obj,"{""vertices"": 981, ""faces"": 1071}"
Loc137,Deep Foundation,67,29,4926,models/3D_Model_137.obj,"{""vertices"": 318, ""faces"": 1762}"
Loc138,Deep Foundation,64,22,1323,models/3D_Model_138.obj,"{""vertices"": 586, ""faces"": 1060}"
Loc139,Deep Foundation,63,37,1693,models/3D_Model_139.obj,"{""vertices"": 511, ""faces"": 1451}"
Loc140,Deep Foundation,63,38,1492,models/3D_Model_140.obj,"{""vertices"": 827, ""faces"": 502}"
Loc141,Deep Foundation,76,7,2633,models/3D_Model_141.obj,"{""vertices"": 576, ""faces"": 1243}"
Loc142,Standard Foundation,83,28,3875,models/3D_Model_142.obj,"{""vertices"": 440, ""faces"": 1996}"
Loc143,Standard Foundation,87,49,4589,models/3D_Model_143.obj,"{""vertices"": 702, ""faces"": 766}"
Loc144,Shallow Foundation,99,21,1961,models/3D_Model_144.obj,"{""vertices"": 552, ""faces"": 1310}"
Loc145,Standard Foundation,100,44,4620,models/3D_Model_145.obj,"{""vertices"": 780, ""faces"": 1120}"
Loc146,Deep Foundation,60,17,4086,models/3D_Model_146.obj,"{""vertices"": 337, ""faces"": 907}"
Loc147,Standard Foundation,64,40,2310,models/3D_Model_147.obj,"{""vertices"": 488, ""faces"": 1527}"
Loc148,Deep Foundation,80,32,1789,models/3D_Model_148.obj,"{""vertices"": 569, ""faces"": 717}"
Loc149,Shallow Foundation,65,48,3587,models/3D_Model_149.obj,"{""vertices"": 781, ""faces"": 1365}"
Loc150,Standard Foundation,60,18,4190,models/3D_Model_150.obj,"{""vertices"": 343, ""faces"": 773}"
Loc151,Deep Foundation,97,34,2651,models/3D_Model_151.obj,"{""vertices"": 668, ""faces"": 1225}"
Loc152,Shallow Foundation,79,6,4712,models/3D_Model_152.obj,"{""vertices"": 837, ""faces"": 1011}"
Loc153,Standard Foundation,77,32,4928,models/3D_Model_153.obj,"{""vertices"": 311, ""faces"": 1197}"
Loc154,Deep Foundation,70,18,4914,models/3D_Model_154.obj,"{""vertices"": 852, ""faces"": 1813}"
Loc155,Shallow Foundation,81,14,3076,models/3D_Model_155.obj,"{""vertices"": 459, ""faces"": 1122}"
Loc156,Shallow Foundation,51,36,2067,models/3D_Model_156.obj,"{""vertices"": 702, ""faces"": 1154}"
Loc157,Deep Foundation,97,49,2439,models/3D_Model_157.obj,"{""vertices"": 448, ""faces"": 1493}"
Loc158,Standard Foundation,60,18,3615,models/3D_Model_158.obj,"{""vertices"": 324, ""faces"": 1028}"
Loc159,Standard Foundation,63,43,4054,models/3D_Model_159.obj,"{""vertices"": 409, ""faces"": 1490}"
Loc160,Shallow Foundation,51,29,3420,models/3D_Model_160.obj,"{""vertices"": 952, ""faces"": 752}"
Loc161,Deep Foundation,62,49,1757,models/3D_Model_161.obj,"{""vertices"": 543, ""faces"": 1377}"
Loc162,Standard Foundation,60,15,2625,models/3D_Model_162.obj,"{""vertices"": 519, ""faces"": 1065}"
Loc163,Standard Foundation,84,44,4961,models/3D_Model_163.obj,"{""vertices"": 594, ""faces"": 1624}"
Loc164,Shallow Foundation,58,5,3014,models/3D_Model_164.obj,"{""vertices"": 435, ""faces"": 1352}"
Loc165,Shallow Foundation,73,22,1800,models/3D_Model_165.obj,"{""vertices"": 626, ""faces"": 1051}"
Loc166,Deep Foundation,98,17,2153,models/3D_Model_166.obj,"{""vertices"": 943, ""faces"": 1776}"
Loc167,Standard Foundation,51,12,4963,models/3D_Model_167.obj,"{""vertices"": 536, ""faces"": 658}"
Loc168,Standard Foundation,78,8,2597,models/3D_Model_168.obj,"{""vertices"": 959, ""faces"": 548}"
Loc169,Shallow Foundation,82,42,4732,models/3D_Model_169.obj,"{""vertices"": 829, ""faces"": 838}"
Loc170,Deep Foundation,51,44,1116,models/3D_Model_170.obj,"{""vertices"": 696, ""faces"": 1411}"
Loc171,Shallow Foundation,67,36,4892,models/3D_Model_171.obj,"{""vertices"": 987, ""faces"": 965}"
Loc172,Shallow Foundation,98,37,1013,models/3D_Model_172.obj,"{""vertices"": 781, ""faces"": 1117}"
Loc173,Standard Foundation,72,16,1943,models/3D_Model_173.obj,"{""vertices"": 646, ""faces"": 1812}"
Loc174,Shallow Foundation,87,45,3223,models/3D_Model_174.obj,"{""vertices"": 739, ""faces"": 1796}"
Loc175,Standard Foundation,52,5,2756,models/3D_Model_175.obj,"{""vertices"": 767, ""faces"": 1148}"
Loc176,Shallow Foundation,92,19,555,models/3D_Model_176.obj,"{""vertices"": 531, ""faces"": 554}"
Loc177,Standard Foundation,53,33,3390,models/3D_Model_177.obj,"{""vertices"": 453, ""faces"": 787}"
Loc178,Standard Foundation,52,41,2247,models/3D_Model_178.obj,"{""vertices"": 922, ""faces"": 1632}"
Loc179,Deep Foundation,95,40,4342,models/3D_Model_179.obj,"{""vertices"": 755, ""faces"": 1268}"
Loc180,Deep Foundation,54,9,881,models/3D_Model_180.obj,"{""vertices"": 915, ""faces"": 1083}"
Loc181,Standard Foundation,54,46,501,models/3D_Model_181.obj,"{""vertices"": 924, ""faces"": 1055}"
Loc182,Shallow Foundation,51,22,3616,models/3D_Model_182.obj,"{""vertices"": 541, ""faces"": 1340}"
Loc183,Deep Foundation,50,13,4170,models/3D_Model_183.obj,"{""vertices"": 856, ""faces"": 567}"
Loc184,Shallow Foundation,93,18,4207,models/3D_Model_184.obj,"{""vertices"": 746, ""faces"": 1684}"
Loc185,Deep Foundation,58,44,955,models/3D_Model_185.obj,"{""vertices"": 874, ""faces"": 1995}"
Loc186,Shallow Foundation,62,21,2430,models/3D_Model_186.obj,"{""vertices"": 444, ""faces"": 559}"
Loc187,Standard Foundation,62,49,1352,models/3D_Model_187.obj,"{""vertices"": 844, ""faces"": 1994}"
Loc188,Shallow Foundation,81,33,2345,models/3D_Model_188.obj,"{""vertices"": 669, ""faces"": 532}"
Loc189,Standard Foundation,75,42,4265,models/3D_Model_189.obj,"{""vertices"": 807, ""faces"": 724}"
Loc190,Shallow Foundation,50,39,1846,models/3D_Model_190.obj,"{""vertices"": 892, ""faces"": 813}"
Loc191,Standard Foundation,57,29,3148,models/3D_Model_191.obj,"{""vertices"": 458, ""faces"": 974}"
Loc192,Deep Foundation,60,44,513,models/3D_Model_192.obj,"{""vertices"": 556, ""faces"": 1247}"
Loc193,Deep Foundation,80,17,3757,models/3D_Model_193.obj,"{""vertices"": 745, ""faces"": 670}"
Loc194,Standard Foundation,77,18,3544,models/3D_Model_194.obj,"{""vertices"": 992, ""faces"": 551}"
Loc195,Deep Foundation,70,24,1042,models/3D_Model_195.obj,"{""vertices"": 770, ""faces"": 909}"
Loc196,Deep Foundation,69,30,1626,models/3D_Model_196.obj,"{""vertices"": 650, ""faces"": 1207}"
Loc197,Deep Foundation,94,43,4599,models/3D_Model_197.obj,"{""vertices"": 315, ""faces"": 1908}"
Loc198,Shallow Foundation,79,44,1405,models/3D_Model_198.obj,"{""vertices"": 880, ""faces"": 784}"
Loc199,Deep Foundation,71,42,3151,models/3D_Model_199.obj,"{""vertices"": 771, ""faces"": 1632}"
Loc200,Shallow Foundation,60,50,3041,models/3D_Model_200.obj,"{""vertices"": 510, ""faces"": 1611}"
Loc201,Shallow Foundation,100,8,1888,models/3D_Model_201.obj,"{""vertices"": 602, ""faces"": 509}"
Loc202,Deep Foundation,71,24,3915,models/3D_Model_202.obj,"{""vertices"": 466, ""faces"": 1699}"
Loc203,Deep Foundation,54,16,3159,models/3D_Model_203.obj,"{""vertices"": 994, ""faces"": 816}"
Loc204,Deep Foundation,85,7,3504,models/3D_Model_204.obj,"{""vertices"": 773, ""faces"": 795}"
Loc205,Shallow Foundation,98,9,3235,models/3D_Model_205.obj,"{""vertices"": 463, ""faces"": 1033}"
Loc206,Deep Foundation,59,29,1337,models/3D_Model_206.obj,"{""vertices"": 971, ""faces"": 1272}"
Loc207,Shallow Foundation,83,27,2159,models/3D_Model_207.obj,"{""vertices"": 444, ""faces"": 949}"
Loc208,Standard Foundation,56,26,2658,models/3D_Model_208.obj,"{""vertices"": 842, ""faces"": 602}"
Loc209,Standard Foundation,82,49,4561,models/3D_Model_209.obj,"{""vertices"": 578, ""faces"": 1976}"
Loc210,Shallow Foundation,86,10,4910,models/3D_Model_210.obj,"{""vertices"": 997, ""faces"": 1717}"
Loc211,Standard Foundation,80,16,812,models/3D_Model_211.obj,"{""vertices"": 419, ""faces"": 679}"
Loc212,Deep Foundation,64,6,4584,models/3D_Model_212.obj,"{""vertices"": 944, ""faces"": 1695}"
Loc213,Standard Foundation,94,17,3035,models/3D_Model_213.obj,"{""vertices"": 556, ""faces"": 1245}"
Loc214,Deep Foundation,60,42,1131,models/3D_Model_214.obj,"{""vertices"": 852, ""faces"": 852}"
Loc215,Shallow Foundation,66,50,3852,models/3D_Model_215.obj,"{""vertices"": 660, ""faces"": 1950}"
Loc216,Standard Foundation,62,32,999,models/3D_Model_216.obj,"{""vertices"": 968, ""faces"": 653}"
Loc217,Deep Foundation,96,27,4913,models/3D_Model_217.obj,"{""vertices"": 687, ""faces"": 579}"
Loc218,Deep Foundation,98,44,1071,models/3D_Model_218.obj,"{""vertices"": 758, ""faces"": 979}"
Loc219,Shallow Foundation,57,31,1727,models/3D_Model_219.obj,"{""vertices"": 485, ""faces"": 669}"
Loc220,Shallow Foundation,75,18,4260,models/3D_Model_220.obj,"{""vertices"": 627, ""faces"": 1443}"
Loc221,Shallow Foundation,92,13,4935,models/3D_Model_221.obj,"{""vertices"": 421, ""faces"": 1641}"
Loc222,Deep Foundation,58,49,2149,models/3D_Model_222.obj,"{""vertices"": 774, ""faces"": 525}"
Loc223,Shallow Foundation,66,21,1626,models/3D_Model_223.obj,"{""vertices"": 667, ""faces"": 1661}"
Loc224,Shallow Foundation,92,39,3200,models/3D_Model_224.obj,"{""vertices"": 523, ""faces"": 1213}"
Loc225,Deep Foundation,84,23,1128,models/3D_Model_225.obj,"{""vertices"": 592, ""faces"": 609}"
Loc226,Standard Foundation,98,15,2087,models/3D_Model_226.obj,"{""vertices"": 786, ""faces"": 962}"
Loc227,Shallow Foundation,78,10,667,models/3D_Model_227.obj,"{""vertices"": 928, ""faces"": 877}"
Loc228,Deep Foundation,52,22,4952,models/3D_Model_228.obj,"{""vertices"": 734, ""faces"": 544}"
Loc229,Shallow Foundation,88,8,3021,models/3D_Model_229.obj,"{""vertices"": 589, ""faces"": 874}"
Loc230,Deep Foundation,67,48,4257,models/3D_Model_230.obj,"{""vertices"": 591, ""faces"": 1337}"
Loc231,Shallow Foundation,84,41,3311,models/3D_Model_231.obj,"{""vertices"": 398, ""faces"": 1852}"
Loc232,Shallow Foundation,100,9,1448,models/3D_Model_232.obj,"{""vertices"": 499, ""faces"": 1393}"
Loc233,Deep Foundation,86,34,4544,models/3D_Model_233.obj,"{""vertices"": 667, ""faces"": 814}"
Loc234,Shallow Foundation,77,36,2044,models/3D_Model_234.obj,"{""vertices"": 731, ""faces"": 1034}"
Loc235,Deep Foundation,95,7,4145,models/3D_Model_235.obj,"{""vertices"": 833, ""faces"": 740}"
Loc236,Deep Foundation,81,16,3718,models/3D_Model_236.obj,"{""vertices"": 636, ""faces"": 1668}"
Loc237,Shallow Foundation,82,8,4336,models/3D_Model_237.obj,"{""vertices"": 556, ""faces"": 976}"
Loc238,Deep Foundation,65,16,1458,models/3D_Model_238.obj,"{""vertices"": 607, ""faces"": 1858}"
Loc239,Standard Foundation,55,42,3301,models/3D_Model_239.obj,"{""vertices"": 362, ""faces"": 1938}"
Loc240,Shallow Foundation,50,37,2855,models/3D_Model_240.obj,"{""vertices"": 395, ""faces"": 1513}"
Loc241,Deep Foundation,99,25,1997,models/3D_Model_241.obj,"{""vertices"": 829, ""faces"": 846}"
Loc242,Deep Foundation,88,44,3669,models/3D_Model_242.obj,"{""vertices"": 954, ""faces"": 1413}"
Loc243,Deep Foundation,75,34,2964,models/3D_Model_243.obj,"{""vertices"": 412, ""faces"": 1437}"
Loc244,Shallow Foundation,75,23,1708,models/3D_Model_244.obj,"{""vertices"": 558, ""faces"": 1672}"
Loc245,Deep Foundation,75,45,2422,models/3D_Model_245.obj,"{""vertices"": 313, ""faces"": 1805}"
Loc246,Shallow Foundation,90,32,1162,models/3D_Model_246.obj,"{""vertices"": 315, ""faces"": 1975}"
Loc247,Shallow Foundation,61,18,3467,models/3D_Model_247.obj,"{""vertices"": 312, ""faces"": 767}"
Loc248,Deep Foundation,62,32,1592,models/3D_Model_248.obj,"{""vertices"": 730, ""faces"": 691}"
Loc249,Standard Foundation,97,37,2122,models/3D_Model_249.obj,"{""vertices"": 835, ""faces"": 1043}"
